Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,97.7,85.3,85.3,..
Afghanistan,AFG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Albania,ALB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,52.5809494009158,54.4524797943649,56.3464934209956,..,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.8,100,100,..
Algeria,DZA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,62.3941102109738,62.3662781916518,62.4100996063433,..,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..
American Samoa,ASM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,36.9884008741522,36.9639005596358,36.9941525462553,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Andorra,AND,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.9999985271439,100,100,..,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,47,48.2,48.5,51.1,..
Angola,AGO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Antigua and Barbuda,ATG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Argentina,ARG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Armenia,ARM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,10.8294973296017,10.7948326121303,10.7531141472168,..,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,99.9,100,..
Aruba,ABW,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Australia,AUS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,95.6137461919857,95.7161177651394,95.818489338293,..,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Austria,AUT,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.6684732901258,99.6701783640015,99.6719798816291,..,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Azerbaijan,AZE,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Bahamas, The",BHS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
