Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,73.3,,,,
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2.8,,,,
Algeria,DZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,13.26502,,,,
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Andorra,AND,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Angola,AGO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,62.6,,,,
Antigua and Barbuda,ATG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,8.39472,,,,
Aruba,ABW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,51.86921,,,,
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2.27611,,,,
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Belize,BLZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,15.72533,,,,
Benin,BEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,67.93293,,,,
Bermuda,BMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Bhutan,BTN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Bolivia,BOL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Bosnia and Herzegovina,BIH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Botswana,BWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,39.6,,,,
Brazil,BRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
British Virgin Islands,VGB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Bulgaria,BGR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Burkina Faso,BFA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,26.55025,,,,
Burundi,BDI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,36.8,,,,
Cabo Verde,CPV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Cambodia,KHM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,39.7,,,,
Cameroon,CMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,32.67179,,,,
Canada,CAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Cayman Islands,CYM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Central African Republic,CAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Chad,TCD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,82,,,,
Channel Islands,CHI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Chile,CHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
China,CHN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Colombia,COL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,9.7,,,,
Comoros,COM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Congo, Dem. Rep.",COD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,78.36226,,,,
"Congo, Rep.",COG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,44.18359,,,,
Costa Rica,CRI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,3.54573,,,,
Cote d'Ivoire,CIV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.21082,,,,
Croatia,HRV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Cuba,CUB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,10.54202,,,,
Curacao,CUW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Cyprus,CYP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Czechia,CZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Denmark,DNK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Djibouti,DJI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Dominica,DMA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Dominican Republic,DOM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,11.24888,,,,
Ecuador,ECU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Egypt, Arab Rep.",EGY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
El Salvador,SLV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,16.5,,,,
Equatorial Guinea,GNQ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Eritrea,ERI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Estonia,EST,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Eswatini,SWZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,10.8082,,,,
Ethiopia,ETH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,64.31438,,,,
Faroe Islands,FRO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Fiji,FJI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,9.4,,,,
Finland,FIN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
France,FRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
French Polynesia,PYF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Gabon,GAB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Gambia, The",GMB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,38.89309,,,,
Georgia,GEO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,7.07908,,,,
Germany,DEU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Ghana,GHA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.48685,,,,
